,uniqueid,salary,games,bats,runs,rbi,hits,doubles,triples,homeruns,walks,strike_outs,weight,height
0,2015ARIahmedni01,508500,134.0,421.0,49.0,34.0,95.0,17.0,6.0,9.0,29.0,81.0,201,74
1,2015ARIanderch01,512500,28.0,48.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,23.0,210,73
2,2015ARIchafian01,507500,66.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,235,74
3,2015ARIcollmjo01,1400000,44.0,27.0,2.0,1.0,5.0,0.0,0.0,0.0,3.0,9.0,240,75
4,2015ARIcorbipa01,524000,16.0,25.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,11.0,220,76
5,2015ARIdelarru01,516000,32.0,64.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,25.0,210,72
6,2015ARIdelgara01,526000,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,220,76
7,2015ARIgoldspa01,3100000,159.0,567.0,103.0,110.0,182.0,38.0,2.0,33.0,118.0,151.0,220,75
8,2015ARIgosewtu01,514500,38.0,128.0,9.0,13.0,27.0,6.0,0.0,1.0,8.0,23.0,185,71
9,2015ARIhellije01,4275000,29.0,41.0,3.0,7.0,9.0,0.0,0.0,0.0,2.0,14.0,190,73
10,2015ARIhernada01,2000000,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245,75
11,2015ARIhillaa01,12000000,116.0,313.0,32.0,39.0,72.0,18.0,0.0,6.0,31.0,54.0,200,71
12,2015ARIhudsoda01,800000,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,215,75
13,2015ARIinciaen01,513000,132.0,524.0,73.0,45.0,159.0,27.0,5.0,6.0,26.0,58.0,190,71
14,2015ARIlairdge01,1000000,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,73
15,2015ARIlambja01,508500,107.0,350.0,38.0,34.0,92.0,15.0,5.0,6.0,36.0,97.0,215,75
16,2015ARImarshev01,512000,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,74
17,2015ARIowingch01,512500,147.0,515.0,59.0,43.0,117.0,27.0,5.0,4.0,26.0,144.0,185,70
18,2015ARIpachejo01,900000,29.0,66.0,8.0,8.0,16.0,0.0,0.0,2.0,9.0,14.0,200,73
19,2015ARIpennicl01,3275000,72.0,135.0,15.0,10.0,32.0,3.0,0.0,1.0,16.0,29.0,200,70
20,2015ARIperalda01,1024000,149.0,462.0,61.0,78.0,144.0,26.0,10.0,17.0,44.0,107.0,210,73
21,2015ARIperezol01,2500000,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,75
22,2015ARIpolloaj01,519500,157.0,609.0,111.0,76.0,192.0,39.0,6.0,20.0,53.0,89.0,210,73
23,2015ARIreedad01,4875000,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,76
24,2015ARIreynoma02,600000,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,77
25,2015ARIstitema01,510500,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,71
26,2015ARItomasya01,5500000,118.0,406.0,40.0,48.0,111.0,19.0,3.0,9.0,17.0,110.0,260,74
27,2015ARItrumbma01,6900000,46.0,174.0,23.0,23.0,45.0,10.0,3.0,9.0,10.0,39.0,225,76
28,2015ARIzieglbr01,5000000,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,76
29,2015ATLavilalu01,530000,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,74
30,2015ATLbethach01,507500,48.0,155.0,16.0,12.0,31.0,8.0,0.0,2.0,5.0,33.0,205,75
31,2015ATLcahiltr01,12000000,15.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,223,76
32,2015ATLcallaal01,3000000,37.0,107.0,12.0,8.0,22.0,2.0,0.0,1.0,14.0,10.0,210,68
34,2015ATLcunnito01,507500,39.0,86.0,13.0,4.0,19.0,4.0,0.0,0.0,5.0,17.0,205,72
35,2015ATLfoltymi01,508750,18.0,28.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,19.0,195,76
36,2015ATLfreemfr01,8500000,118.0,416.0,62.0,66.0,115.0,27.0,0.0,18.0,56.0,98.0,220,77
37,2015ATLgomesjo01,4000000,83.0,195.0,27.0,22.0,43.0,7.0,0.0,7.0,28.0,67.0,230,73
38,2015ATLgosseph01,507500,20.0,40.0,2.0,2.0,13.0,4.0,0.0,0.0,2.0,5.0,188,73
39,2015ATLgrillja01,4250000,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,77
40,2015ATLjohnsch05,6000000,56.0,153.0,12.0,11.0,36.0,7.0,0.0,2.0,7.0,49.0,225,75
41,2015ATLjohnsji04,1600000,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,78
42,2015ATLjohnske05,1500000,62.0,182.0,20.0,34.0,50.0,5.0,0.0,9.0,13.0,43.0,200,73
43,2015ATLmarkani01,11000000,156.0,612.0,73.0,53.0,181.0,38.0,1.0,3.0,70.0,83.0,210,73
44,2015ATLmaybica01,7000000,141.0,505.0,65.0,59.0,135.0,18.0,2.0,10.0,45.0,102.0,215,75
45,2015ATLmillesh01,535000,33.0,56.0,1.0,0.0,3.0,2.0,0.0,0.0,4.0,29.0,225,75
46,2015ATLpeterja01,507500,152.0,528.0,55.0,52.0,126.0,23.0,5.0,6.0,56.0,120.0,215,72
47,2015ATLpierzaj01,2000000,113.0,407.0,38.0,49.0,122.0,24.0,1.0,9.0,19.0,37.0,250,75
48,2015ATLsimmoan01,3000000,147.0,535.0,60.0,44.0,142.0,23.0,2.0,4.0,39.0,48.0,195,74
49,2015ATLteherju01,1000000,33.0,52.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,9.0,205,74
50,2015ATLterdojo01,507500,28.0,56.0,5.0,4.0,12.0,4.0,1.0,1.0,3.0,14.0,200,73
51,2015ATLwoodal02,520000,20.0,33.0,1.0,4.0,5.0,1.0,0.0,0.0,3.0,21.0,215,76
52,2015ATLyounger03,1000000,35.0,77.0,7.0,5.0,13.0,4.0,2.0,0.0,6.0,17.0,195,70
53,2015BALbrachbr01,523000,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,78
54,2015BALbrittza01,3200000,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,73
55,2015BALcabreev01,2400000,29.0,96.0,7.0,4.0,20.0,2.0,0.0,0.0,5.0,22.0,190,70
56,2015BALchenwe02,4750000,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,72
57,2015BALclevest01,514000,30.0,101.0,11.0,15.0,29.0,4.0,2.0,2.0,4.0,13.0,210,70
58,2015BALdavisch02,12000000,160.0,573.0,100.0,117.0,150.0,31.0,0.0,47.0,84.0,208.0,255,76
59,2015BALdeazaal01,5000000,30.0,103.0,16.0,7.0,22.0,4.0,1.0,3.0,7.0,34.0,195,72
60,2015BALflahery01,1075000,91.0,267.0,34.0,31.0,54.0,8.0,3.0,9.0,26.0,81.0,205,75
61,2015BALgausmke01,522000,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,74
62,2015BALgonzami03,3275000,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,73
63,2015BALhardyjj01,11500000,114.0,411.0,45.0,37.0,90.0,14.0,0.0,8.0,20.0,88.0,200,73
64,2015BALhunteto02,4650000,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,75
