uniqueid, salary ,games,bats,runs,rbi,hits,doubles,triples,homeruns,walks,strike_outs,weight,height
2015TEXrodriwa01,507000,17,2,1,0,1,0,0,0,0,0,195,71
2015ARIchafian01,507500,66,3,0,0,0,0,0,0,0,1,235,74
2015ATLbethach01,507500,48,155,16,12,31,8,0,2,5,33,205,75
2015ATLcunnito01,507500,39,86,13,4,19,4,0,0,5,17,205,72
2015ATLgosseph01,507500,20,40,2,2,13,4,0,0,2,5,188,73
2015ATLpeterja01,507500,152,528,55,52,126,23,5,6,56,120,215,72
2015ATLterdojo01,507500,28,56,5,4,12,4,1,1,3,14,200,73
2015CINdesclan01,507500,31,58,1,3,9,1,0,0,3,33,195,74
2015DETmccanja02,507500,114,401,32,41,106,18,5,7,16,90,220,75
2015MIAdysonsa01,507500,44,0,0,0,0,0,0,0,0,0,212,73
2015MILcenteju01,507500,10,21,0,0,1,1,0,0,2,7,195,69
2015MILgomezhe01,507500,66,127,15,7,23,11,2,1,3,40,195,75
2015MILrogerja02,507500,86,152,22,16,45,6,2,4,15,34,230,73
2015NYAbetande01,507500,74,0,0,0,0,0,0,0,0,0,265,80
2015OAKalvarrj01,507500,21,0,0,0,0,0,0,0,0,0,230,73
2015OAKgraveke01,507500,21,0,0,0,0,0,0,0,0,0,200,74
2015OAKhahnje01,507500,16,3,0,0,0,0,0,0,0,2,205,77
2015SLNlackejo01,507500,33,62,0,3,7,2,0,0,4,24,235,78
2015TBAandrima01,507500,25,1,0,0,0,0,0,0,0,0,215,74
2015WASugglada01,507500,67,120,12,16,22,4,2,2,19,40,210,71
2015CLEadamsau01,507700,28,1,0,0,0,0,0,0,0,0,205,71
2015CHNbeeleda01,508000,3,3,0,0,1,1,0,0,0,1,225,77
2015PHIruppca01,508000,81,270,24,28,63,9,1,9,24,71,260,74
2015TBAbeckhti01,508100,82,203,24,37,45,7,4,9,13,69,215,72
2015ARIahmedni01,508500,134,421,49,34,95,17,6,9,29,81,201,74
2015ARIlambja01,508500,107,350,38,34,92,15,5,6,36,97,215,75
2015BOSbarnema01,508500,32,0,0,0,0,0,0,0,0,0,208,76
2015BOScecchga01,508500,2,4,0,0,0,0,0,0,0,3,220,75
2015CHNszczuma01,508500,47,72,5,8,16,5,0,1,6,15,200,72
2015DETperezhe01,508500,22,33,1,0,2,0,0,0,1,11,213,73
2015MILblazemi01,508500,45,4,0,1,1,1,0,0,0,2,205,72
2015MILjimenlu02,508500,15,15,1,0,1,0,0,0,1,6,205,73
2015SDNgarcefr01,508500,40,0,0,0,0,0,0,0,0,0,175,71
2015SDNspangco01,508500,108,303,38,21,82,17,5,4,28,75,195,72
2015TEXclaudal01,508500,18,0,0,0,0,0,0,0,0,0,188,75
2015TEXedwarjo02,508500,11,0,0,0,0,0,0,0,0,0,240,77
2015TEXruary01,508500,28,83,10,7,16,5,0,4,3,32,205,74
2015TEXsmolija01,508500,35,60,12,6,8,1,0,1,11,20,210,71
2015TORpompeda01,508500,34,94,17,6,21,8,0,2,7,23,200,74
2015CLEperezro02,508600,70,184,30,21,42,9,1,7,33,64,220,71
2015TBAsouzast01,508700,110,373,59,40,84,15,1,16,46,144,225,76
2015TORnorrida01,508700,5,0,0,0,0,0,0,0,0,0,207,74
2015WAStaylomi02,508700,138,472,49,63,108,15,2,14,35,158,215,76
2015ATLfoltymi01,508750,18,28,0,3,2,1,0,0,0,19,195,76
2015TBAkarnsna01,508800,27,4,1,1,1,0,0,1,0,3,225,75
2015PHIgarcilu03,509000,72,0,0,0,0,0,0,0,0,0,240,74
2015SFNduffyma01,509000,149,573,77,77,169,28,6,12,30,96,190,74
2015NYNgoedder01,509125,35,1,0,0,0,0,0,0,0,0,191,75
2015SEAsucreje01,509300,52,127,9,7,20,6,0,1,6,21,200,72
2015BOShembrhe01,509500,22,0,0,0,0,0,0,0,0,0,220,76
2015COLbrownbr02,509500,36,0,0,0,0,0,0,0,0,0,205,75
2015COLbutleed01,509500,16,23,0,0,1,0,0,0,0,13,180,74
2015COLmatzety01,509500,6,8,3,0,3,1,0,0,0,1,230,75
2015LAAalvarjo02,509500,64,0,0,0,0,0,0,0,0,0,195,71
2015MILwootero01,509500,4,1,0,0,0,0,0,0,0,0,200,73
2015TEXkleinph01,509500,11,0,0,0,0,0,0,0,0,0,255,79
2015TEXmendero01,509500,12,0,0,0,0,0,0,0,0,0,245,75
2015KCAcolonch01,509525,43,107,8,6,31,5,0,0,11,17,215,70
2015CLEwalteza01,509600,12,30,0,3,4,0,0,0,0,15,210,74
2015CHAsanchca01,510000,120,389,40,31,87,23,1,5,19,81,210,72
2015CHNalcanar01,510000,11,26,5,1,2,0,0,0,5,11,170,70
2015CHNhendrky01,510000,32,60,2,1,3,1,0,0,1,24,190,75
2015CINdiazju03,510000,61,0,0,0,0,0,0,0,0,0,315,76
2015DETrondobr01,510000,35,0,0,0,0,0,0,0,0,0,275,75
2015LANgarciyi01,510000,59,0,0,0,0,0,0,0,0,0,228,74
2015LANpederjo01,510000,151,480,67,54,101,19,1,26,92,170,220,73
2015MINherrmch01,510000,45,103,13,10,15,5,1,2,7,37,200,72
2015NYApetitgr01,510000,20,42,7,5,7,3,0,0,3,16,200,70
2015NYApireljo01,510000,37,74,7,5,17,3,0,1,2,16,220,72
2015OAKphegljo01,510000,73,225,27,34,56,16,1,9,14,51,225,70
2015OAKsemiema01,510000,155,556,65,45,143,23,7,15,42,132,195,72
2015PHIhernace02,510000,127,405,57,35,110,20,4,1,40,86,195,70
2015PITdeckeja01,510000,23,28,8,1,6,1,1,0,7,9,190,69
2015SLNgrichra01,510000,103,323,49,47,89,23,7,17,22,110,216,74
2015NYAshrevch01,510275,59,0,0,0,0,0,0,0,0,0,180,76
2015BOSleonsa01,510400,41,114,8,3,21,2,0,0,7,28,235,70
2015ARIstitema01,510500,11,0,0,0,0,0,0,0,0,0,205,71
2015BOSwrighst01,510500,16,1,0,0,0,0,0,0,0,0,215,74
2015MILjeffrje01,510500,72,0,0,0,0,0,0,0,0,0,205,72
2015MILschaflo01,510500,69,122,17,6,27,6,1,1,12,29,200,73
2015MILthornty01,510500,24,3,0,0,0,0,0,0,0,1,190,71
2015TBAcolomal01,510800,43,0,0,0,0,0,0,0,0,0,225,73
2015TORhynesco01,510800,5,0,0,0,0,0,0,0,0,0,200,71
2015CLEcrockky01,510900,31,0,0,0,0,0,0,0,0,0,180,74
2015LAAnavaref01,511000,54,83,9,5,21,4,0,0,5,16,210,72
2015NYNmontera01,511000,5,2,0,0,0,0,0,0,0,1,190,72
2015NYAmartich02,511025,24,0,0,0,0,0,0,0,0,0,225,80
2015NYNcampber01,511065,71,173,28,19,34,8,0,3,26,37,215,75
2015HOUmarisja01,511200,133,339,46,36,80,15,4,9,18,105,220,76
2015LAAroberda09,511250,37,75,10,7,21,2,0,0,2,7,200,71
2015CLEramirjo01,511300,97,315,50,27,69,14,3,6,32,39,190,69
2015MILnelsoji02,511500,30,55,1,2,6,1,0,0,1,34,250,78
2015CLEhousetj01,511900,4,0,0,0,0,0,0,0,0,0,205,73
2015ARImarshev01,512000,13,0,0,0,0,0,0,0,0,0,235,74
2015TORpillake01,512000,159,586,76,56,163,31,2,12,28,85,200,72
2015SEAtayloch03,512400,37,94,9,1,16,3,1,0,6,31,196,73
